symbol,_id,company,dividend_startyear,exchange,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website,exchange_
6274,2020Q4_1696310,台燿,2016,ROCO,硬件,31120,-,电子元件,31120040,7541237000,3.09,4.79,NT$122.00,科技,311,1.97,5279000,22742970,1.51,-19.16,-1251000,-0.54,0.54,1.0,147.5,95.0,119.9,1.75,2020-12-31T05:00:00Z,{4_trade_reduce},{trade_reduce} 19.16 %,2020Q4_1696310,,,,,,,,,,,,,,
01801,2020Q4_1696293,信达生物,0,HKSE,生物科技,20610,-,生物科技,20610010,106676243000,19.27,6.52,HK$88.75,医疗保健,206,0.42,6118500,64767120,4.29,-21.78,-1704000,-1.12,1.12,1.0,82.8,47.45,57.46,54.46,2020-12-31T05:00:00Z,{4_trade_reduce},{trade_reduce} 21.78 %,2020Q4_1696293,,,,,,,,,,,,,,HKSE
01765,2020Q4_1696292,希望教育,0,HKSE,教育,20540,-,教育培训服务,20540010,11149747000,-33.6,-21.77,HK$1.64,非周期性消费,205,0.36,29068000,8100280,0.54,-22.37,-8374000,-0.25,0.25,1.0,2.83,1.82,2.32,-29.31,2020-12-31T05:00:00Z,{4_trade_reduce},{trade_reduce} 22.37 %,2020Q4_1696292,,,,,,,,,,,,,,HKSE
00669,2020Q4_1696303,创科实业,2008,HKSE,工业制品,31070,-,工具和配件,31070050,204336185000,-2.44,20.41,HK$135.00,工业,310,0.19,3510000,50083340,3.32,-22.58,-1023500,-0.88,0.88,1.0,114.9,75.6,97.35,38.67,2020-12-31T05:00:00Z,{4_trade_reduce},{trade_reduce} 22.58 %,2020Q4_1696303,,,,,,,,,,,,,,HKSE
00220,2020Q4_1696305,统一企业中国,2017,HKSE,软饮料,20520,-,软饮料,20520010,30983422000,-3.03,16.14,HK$8.46,非周期性消费,205,0.24,10302000,10486480,0.7,-31.1,-4651000,-0.41,0.41,1.0,8.74,6.67,7.49,12.95,2020-12-31T05:00:00Z,{4_trade_reduce},{trade_reduce} 31.10 %,2020Q4_1696305,,,,,,,,,,,,,,HKSE
RYB,2020Q4_1696315,红黄蓝,0,NYSE,教育,20540,-,教育培训服务,20540010,859692000,77.86,103.38,$4.82,非周期性消费,205,1.88,518795,1229540,0.08,-31.45,-237972,-0.06,0.06,1.0,3.46,2.37,2.87,67.94,2020-12-31T05:00:00Z,{4_trade_reduce},{trade_reduce} 31.45 %,2020Q4_1696315,,,,,,,,,,,,,,
03690,2020Q4_1696296,美团,0,HKSE,零售,10280,-,网络零售,10280050,1484428096000,1.97,-1.22,HK$292.60,周期性消费,102,0.03,1618900,61529560,4.08,-36.23,-919600,-1.8,1.8,1.0,335.2,179.4,254.09,15.16,2020-12-31T05:00:00Z,{4_trade_reduce},{trade_reduce} 36.23 %,2020Q4_1696296,,,,,,,,,,,,,,HKSE
02202,2020Q4_1696281,万科Ａ,2020,HKSE,房地产,10410,-,房地产开发,10410010,264345403000,-11.83,-7.69,HK$23.35,房地产,104,0.03,3837400,13243170,0.88,-37.92,-2343600,-0.66,0.66,1.0,29.7,23.0,25.75,-9.32,2020-12-31T05:00:00Z,{4_trade_reduce},{trade_reduce} 37.92 %,2020Q4_1696281,广东省深圳市盐田区大梅沙环梅路33号万科中心,房地产开发；兴办实业(具体项目另行申报)；国内商业、物资供销业(不含专营、专控、专卖商品)；进出口业务(按深经发审证字第113号外贸企业审定证书规定办理)。,郁亮,深圳市,公司成立于1984年，1988年进入房地产行业，经过三十余年的发展，已成为国内领先的城市配套服务商，公司业务聚焦全国经济最具活力的三大经济圈及中西部重点城市。2014年万科第四个十年发展规划，已经把“三好住宅供应商”的定位延展为“城市配套服务商”。2018年万科将这一定位进一步迭代升级为“城乡建设与生活服务商”，并具体细化为四个角色：美好生活场景师，实体经济生力军，创新探索试验田，和谐生态建设者。2017年，深圳地铁集团成为本集团第一大股东，始终支持万科的混合所有制结构，支持万科城市配套服务商战略和事业合伙人机制，支持万科管理团队按照既定战略目标，实施运营和管理，支持深化“轨道+物业”发展模式。公司核心业务包括住宅开发、物业服务、长租公寓。2018年，公司将自身定位进一步迭代升级为“城乡建设与生活服务商”，所搭建的生态体系已初具规模，在巩固住宅开发和物业服务固有优势的基础上，业务已延伸至商业开发和运营、物流仓储服务、租赁住宅、产业城镇、冰雪度假、养老、教育等领域，为更好的服务人民美好生活需要、实现可持续发展奠定了良好基础。,ir@vanke.com,房地产开发和物业服务,祝九胜,广东,1161773.22,朱旭,19840530,www.vanke.com,HKSE
01929,2020Q4_1696290,周大福,2021,HKSE,零售,10280,-,奢侈品,10280040,130001976000,20.93,60.0,HK$16.24,周期性消费,102,0.05,5450600,6856150,0.45,-42.0,-3946200,-0.33,0.33,1.0,10.78,7.53,9.33,74.06,2020-12-31T05:00:00Z,{4_trade_reduce},{trade_reduce} 42.00 %,2020Q4_1696290,,,,,,,,,,,,,,HKSE
02020,2020Q4_1696287,安踏体育,2020,HKSE,旅游和娱乐,10290,-,娱乐,10290020,423466818000,33.52,54.04,HK$189.30,周期性消费,102,0.05,1418000,22483250,1.49,-62.03,-2317000,-1.81,1.81,1.0,123.2,68.5,88.49,113.92,2020-12-31T05:00:00Z,{4_trade_reduce},{trade_reduce} 62.03 %,2020Q4_1696287,,,,,,,,,,,,,,HKSE
00027,2020Q4_1696291,银河娱乐,2016,HKSE,旅游和娱乐,10290,-,度假村和赌场,10290040,214051802000,-13.54,-2.32,HK$58.70,周期性消费,102,0.02,856000,6653680,0.44,-73.93,-2427000,-1.46,1.46,1.0,62.8,50.05,56.64,3.64,2020-12-31T05:00:00Z,{4_trade_reduce},{trade_reduce} 73.93 %,2020Q4_1696291,,,,,,,,,,,,,,HKSE
09988,2020Q4_1696325,阿里巴巴,0,HKSE,零售,10280,-,网络零售,10280050,3814575162000,-9.92,-9.3,HK$210.80,周期性消费,102,0.0,0,0,0.0,-10000.0,-2779300,-6.64,6.64,1.0,307.4,210.0,268.58,-21.51,2020-12-31T05:00:00Z,{5_trade_sell},{trade_sell},2020Q4_1696325,,,,,,,,,,,,,,HKSE
JD,2020Q4_1696335,京东集团,0,NAS,零售,10280,-,网络零售,10280050,774722131000,-0.81,-12.56,$76.86,周期性消费,102,0.0,0,0,0.0,-10000.0,-1096523,-5.83,5.83,1.0,92.49,76.1,83.6,-8.06,2020-12-31T05:00:00Z,{5_trade_sell},{trade_sell},2020Q4_1696335,,,,,,,,,,,,,,
00939,2020Q4_1696322,建设银行,2016,HKSE,银行,10320,-,多元化银行,10320010,1176766831000,-8.14,1.37,HK$5.60,金融服务,103,0.0,0,0,0.0,-10000.0,-53391000,-3.82,3.82,1.0,6.2,4.98,5.73,-2.27,2020-12-31T05:00:00Z,{5_trade_sell},{trade_sell},2020Q4_1696322,北京市西城区金融大街25号,吸收公众存款；发放短期、中期、长期贷款；办理国内外结算；办理票据承兑与贴现；发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券、金融债券；从事同业拆借；买卖、代理买卖外汇；从事银行卡业务；提供信用证服务及担保；代理收付款项及代理保险业务；提供保管箱服务；经国务院银行业监督管理机构等监管部门批准的其他业务。,田国立,北京市,公司成立于1954年10月，是一家国内领先、国际知名的大型股份制商业银行，总部设在北京。公司与众多支撑和引领中国经济发展的优质企业和大量高端客户保持密切合作关系；在中国香港、新加坡、法兰克福、约翰内斯堡、开普敦、东京、大阪、首尔、纽约、胡志明市、悉尼、墨尔本、布里斯班、中国台北、卢森堡、中国澳门、多伦多、巴黎、阿姆斯特丹、巴塞罗那、米兰、伦敦、苏黎世和迪拜设有海外分行，拥有建行亚洲、建银国际、建行伦敦、建行俄罗斯、建行迪拜、建行欧洲、建行新西兰、建行巴西、建信基金、建信租赁、建信信托、建信人寿、建信期货、建信养老金、中德住房储蓄银行等多家子公司。公司秉承“以客户为中心、以市场为导向”的经营理念，加快向综合性银行集团、多功能服务、集约化发展、创新银行、智慧银行五个方向转型，通过加快产品、渠道和服务模式的创新，为客户提供优质的综合金融服务，多项核心经营指标居于市场领先地位。,ir@ccb.com,主营业务:中长期贷款及短期贷款.,王江,北京,25001097.75,胡昌苗,20040917,www.ccb.com,HKSE
BABA,2020Q4_1696333,阿里巴巴,0,NYSE,零售,10280,-,网络零售,10280050,3766390937000,-10.18,-7.72,$214.76,周期性消费,102,0.0,0,0,0.0,-10000.0,-153212,-2.92,2.92,1.0,317.14,222.0,277.43,-22.59,2020-12-31T05:00:00Z,{5_trade_sell},{trade_sell},2020Q4_1696333,,,,,,,,,,,,,,
3008,2020Q4_1696331,大立光,2019,TPE,硬件,31120,-,电子元件,31120040,94288503000,-0.33,-4.85,NT$3040.00,科技,311,0.0,0,0,0.0,-10000.0,-231000,-2.84,2.84,1.0,3550.0,2950.0,3250.0,-6.46,2020-12-31T05:00:00Z,{5_trade_sell},{trade_sell},2020Q4_1696331,,,,,,,,,,,,,,
01177,2020Q4_1696326,中国生物制药,2018,HKSE,生物科技,20610,-,生物科技,20610010,114130258000,-10.66,-3.44,HK$7.11,医疗保健,206,0.0,0,0,0.0,-10000.0,-17446350,-1.94,1.94,1.0,8.69,6.65,7.71,-7.78,2020-12-31T05:00:00Z,{5_trade_sell},{trade_sell},2020Q4_1696326,,,,,,,,,,,,,,HKSE
601688,2020Q4_1696321,华泰证券,2018,SHSE,资本市场,10330,-,资本市场,10330010,129423311000,-7.49,-14.21,¥15.49,金融服务,103,0.0,0,0,0.0,-10000.0,-6400235,-1.5,1.5,1.0,21.62,17.39,19.36,-19.99,2020-12-31T05:00:00Z,{5_trade_sell},{trade_sell},2020Q4_1696321,江苏省南京市建邺区江东中路228号,证券经纪业务；证券自营；证券承销业务(限承销国债、非金融企业债务融资工具、金融债(含政策性金融债))；证券投资咨询；为期货公司提供中间介绍业务；融资融券业务；代销金融产品业务；证券投资基金代销；证券投资基金托管；黄金等贵金属现货合约代理业务；黄金现货合约自营业务；股票期权做市业务；中国证监会批准的其他业务。,张伟,南京市,公司是中国领先的综合性证券集团，具有庞大的客户基础、领先的互联网平台和敏捷协同的全业务链体系，是中国证监会首批批准的综合类券商，全国最早获得创新试点资格券商。目前，公司在境内控股华泰联合证券有限责任公司、华泰期货有限公司、江苏股权交易中心有限责任公司；在境内外全资设立华泰金融控股(香港)有限公司、华泰紫金投资有限责任公司、华泰创新投资有限公司、华泰证券(上海)资产管理有限公司；参股南方基金管理有限公司、华泰柏瑞基金管理有限公司、江苏银行股份有限公司、金浦产业投资基金管理有限公司、证通股份有限公司。近年来，公司着力为客户提供全生命周期综合金融服务，逐步形成了以投资银行业务为龙头，以经纪与财富管理业务为基础，以投资与交易业务和资产管理业务为两翼的全业务链业务体系。,boardoffice@htsc.com;zhanghui@htsc.com,"主营业务:证券经纪,投资银行,资产管理,基金管理,证券自营,证券投资管理,直接投资等",周易,江苏,907665.0,张辉,19910409,www.htsc.com.cn,SHSE
3406,2020Q4_1696328,玉晶光,2019,TPE,硬件,31120,-,计算机硬件,31120020,14677610000,8.0,0.0,NT$567.00,科技,311,0.0,0,0,0.0,-10000.0,-686000,-1.44,1.44,1.0,663.0,535.0,586.24,-3.28,2020-12-31T05:00:00Z,{5_trade_sell},{trade_sell},2020Q4_1696328,,,,,,,,,,,,,,
2317,2020Q4_1696329,鴻海,2018,TPE,硬件,31120,-,电子元件,31120040,383005128000,-1.24,29.89,NT$119.50,科技,311,0.0,0,0,0.0,-10000.0,-4536000,-1.18,1.18,1.0,92.0,77.4,83.05,43.89,2020-12-31T05:00:00Z,{5_trade_sell},{trade_sell},2020Q4_1696329,,,,,,,,,,,,,,
2308,2020Q4_1696327,台達電,2016,TPE,硬件,31120,-,电子元件,31120040,192493906000,8.46,21.86,NT$320.50,科技,311,0.0,0,0,0.0,-10000.0,-2307000,-1.16,1.16,1.0,263.0,188.0,216.88,47.78,2020-12-31T05:00:00Z,{5_trade_sell},{trade_sell},2020Q4_1696327,,,,,,,,,,,,,,
00291,2020Q4_1696324,华润啤酒,2019,HKSE,酒精饮料,20510,-,啤酒,20510010,184833760000,8.21,-5.28,HK$67.80,非周期性消费,205,0.0,0,0,0.0,-10000.0,-2019000,-0.99,0.99,1.0,71.95,45.8,56.65,19.68,2020-12-31T05:00:00Z,{5_trade_sell},{trade_sell},2020Q4_1696324,,,,,,,,,,,,,,HKSE
02318,2020Q4_1696323,中国平安,2015,HKSE,保险,10340,-,人身保险,10340010,1101218717000,-17.57,-21.43,HK$73.05,金融服务,103,0.0,0,0,0.0,-10000.0,-968500,-0.86,0.86,1.0,97.85,79.3,87.87,-16.87,2020-12-31T05:00:00Z,{5_trade_sell},{trade_sell},2020Q4_1696323,"广东省深圳市福田区益田路5033号平安金融中心47,48,108,109,110,111,112层",(一)投资保险企业；(二)监督管理控股投资企业的各种国内、国际业务；(三)开展保险资金运用业务；(四)经批准开展国内、国际保险业务；(五)经中国保险监督管理委员会及国家有关部门批准的其他业务。,马明哲,深圳市,公司于1988年诞生于深圳蛇口，是中国第一家股份制保险企业，至今已发展成为融保险、银行、投资三大主营业务为一体、核心金融与互联网金融业务并行发展的个人金融生活服务集团之一。公司致力于成为国际领先的个人金融生活服务提供商，坚持“科技引领金融，金融服务生活”的理念，通过“综合金融+互联网”和“互联网+综合金融”两个模式，聚焦“大金融资产”和“大医疗健康”两大产业，围绕保险、银行、资产管理、互联网金融四大板块，为客户创造“专业，让生活更简单”的品牌体验。公司是国内金融牌照最齐全、业务范围最广泛、控股关系最紧密的个人金融生活服务集团之一。平安集团旗下子公司包括平安寿险、平安产险、平安养老险、平安健康险、平安银行、平安信托、平安证券、平安大华基金等，涵盖金融业各个领域，已发展成为中国少数能为客户同时提供保险、银行及投资等全方位金融产品和服务的金融企业之一。,PR@pingan.com.cn;IR@pingan.com.cn,"主营业务:以保险业务为核心,以统一品牌向客户提供包括保险,银行,证券,信托等多元化金融服务",谢永林,广东,1828024.14,盛瑞生,19880321,www.pingan.cn,HKSE
3010,2020Q4_1696332,華立,2019,TPE,半导体,31130,-,半导体仪器和材料,31130010,4611881000,6.16,13.42,NT$86.20,科技,311,0.0,0,0,0.0,-10000.0,-3442000,-0.59,0.59,1.0,78.8,55.5,69.03,24.87,2020-12-31T05:00:00Z,{5_trade_sell},{trade_sell},2020Q4_1696332,,,,,,,,,,,,,,
2059,2020Q4_1696330,川湖,2020,TPE,家具制造,10220,-,家具制造,10220010,8363540000,14.11,27.95,NT$380.00,周期性消费,102,0.0,0,0,0.0,-10000.0,-491000,-0.5,0.5,1.0,305.0,276.0,293.15,29.63,2020-12-31T05:00:00Z,{5_trade_sell},{trade_sell},2020Q4_1696330,,,,,,,,,,,,,,
200429,2020Q4_1696319,粤高速Ａ,2020,SZSE,建筑,31040,-,基础设施运营,31040020,13527375000,8.15,28.63,HK$5.33,工业,310,0.0,0,0,0.0,-10000.0,-9563858,-0.49,0.49,1.0,4.5,4.05,4.25,25.41,2020-12-31T05:00:00Z,{5_trade_sell},{trade_sell},2020Q4_1696319,"广东省广州市天河区珠江新城珠江东路32号利通广场45,46层",主营高速公路、等级公路和桥梁的投资、建设、收费、养护和服务管理；汽车援救服务、维修和清洗；停车场收费；设计、制作、发布、代理国内外各类广告；公路沿线土地开发；仓储业务；智能交通技术研发与服务；股权投资、管理、咨询。(依法须经批准的项目，经相关部门批准后方可开展经营活动),郑任发,广州市,公司主营高速公路、桥梁的建设施工，公路、桥梁的收费和养护管理业务，公司坚持“依托集团、立足省内、兼顾省外”投资策略，不断加大新项目开发力度，多方建立沟通合作关系，积极拓展项目源。坚持收购已运营的优质路产项目，以控股为主，注重盈利水平。逐步改变参股项目散、小、多的现状，按照“适度释放、有效整合”的原则，逐步调整资产结构、改善盈利能力。大力发展高速公路节能服务项目，加强技术研发，注重人才积累，争取政策支持。公司还建立完善、高效、明晰的管理机制，不断提高项目公司盈利能力。,139221590@qq.com;ygs@gdcg.cn;fengxw2007@163.com;Hmy69@126.com,主要业务:高速公路和特大桥梁的商业开发和经营.,汪春华,广东,209080.61,杨汉明,19970102,www.gpedcl.com,SZSE
200028,2020Q4_1696318,国药一致,2017,SZSE,医疗产品分销,20670,-,医疗产品分销,20670010,14597915000,5.61,4.99,HK$22.65,医疗保健,206,0.0,0,0,0.0,-10000.0,-1026283,-0.26,0.26,1.0,23.0,21.16,22.28,1.66,2020-12-31T05:00:00Z,{5_trade_sell},{trade_sell},2020Q4_1696318,广东省深圳市福田区八卦四路15号一致药业大厦,"中药饮片、中成药、化学原料药、化学药制剂、抗生素原料药、抗生素制剂、生化药品、生物制品(含疫苗和体外诊断试剂)、第二类精神药品(制剂)、麻醉药品、第一类精神药品(区域性批发企业)、医疗用毒性药品、蛋白同化制剂、肽类激素的批发；保健食品经营；药用包装材料及医药工业产品研究与开发、咨询服务；投资兴办实业(具体项目另行申报)；国内商业、物资供销业(不含专营、专控、专卖商品)；救护车销售；供应链管理；仓储代理服务;物流代理服务;道路货物运输代理;装卸搬运;运输货物打包服务；其他仓储业(不含原油、成品油仓储、燃气仓储、危险品仓储)；会议及展览服务；全部一类医疗器械；全部二类医疗器械(包括二类体外诊断试剂)；III类：6840体外诊断试剂,6807胸腔心血管外科手术器械，6815注射穿刺器械，6821医用电子仪器设备，6822医用光学器具、仪器及内窥镜设备，6823医用超声仪器及有关设备，6824医用激光仪器设备，6825医用高频仪器设备，6826物理治疗及康复设备，6828医用磁共振设备，6830医用X射线设备，6832医用高能射线设备，6833医用核素设备，6834医用射线防护用品、装置，6840临床检验分析仪器，6",林兆雄,深圳市,公司是集医药研发、制药工业、药品分销、医药物流为一体的综合性医药上市公司承担着国家、省、市政府药品特储任务。公司制药工业集产品研发、原料与制剂生产、市场营销于一体，产品主要覆盖头孢抗菌素、呼吸系统用药、消化系统用药、心脑血管用药以及抗肿瘤药等领域。公司药品分销业务位居广东、广西两省前茅，名列中国医药商业20强，拥有完善的全国商业网络和深度渗透的南区终端市场网络，拥有华南地区自动化程度最高、服务能力最强的专业医药物流中心，也是华南地区首家获批第三方医药物流资质的企业。未来的公司坚持内生性增长与外延式扩张并重，借助资本运作、实施兼并收购、联合重组，创新盈利模式，积极发展新业务，致力成为具有国际竞争力的医药健康产品和服务提供商。,gyyz0028@sinopharm.com;gyyzinvestor@sinopharm.com,"主要业务:制药,医药批发零售.主要产品:头孢类系列产品,健儿清解液.",林兆雄,广东,42812.7,陈常兵,19860802,www.szaccord.com.cn,SZSE
900942,2020Q4_1696320,黄山旅游,2020,SHSE,旅游和娱乐,10290,-,寄宿,10290030,4763672000,-2.66,-1.48,$0.73,周期性消费,102,0.0,0,0,0.0,-10000.0,-2964024,-0.16,0.16,1.0,0.78,0.71,0.75,-2.93,2020-12-31T05:00:00Z,{5_trade_sell},{trade_sell},2020Q4_1696320,安徽省黄山市屯溪区天都大道5号(天都国际饭店D座16-18楼),旅游接待、服务，旅游商品开发、销售，旅游运输，饮食服务，旅游资源开发，旅游度假、疗休养相关服务，组织举办与旅游相关的贸易活动，信息咨询。房地产开发经营、房地产租赁。,章德辉,黄山市,公司属于资源垄断性旅游企业，业务范围涵盖了景区开发管理、酒店、索道、旅行社等旅游领域，被誉为“中国第一只完整意义的旅游概念股”。公司所依托的黄山风景区是世界文化与自然双遗产，世界地质公园、全国首批5A级旅游景区，以奇松、怪石、云海、温泉、冬雪“五绝”和遗存、书画、文学、传说、名人“五胜”闻名于世。黄山景区曾荣获“中国十大风景区名胜”、“全国文明风景旅游区”，全国首批5A级景区等称号；公司先后荣获中国驰名商标、首批“全国旅游标准化示范单位”、首届“全国旅游服务质量标杆企业”和安徽省政府质量奖；下属企业黄山市中国旅行社连续十年跻身“全国百强”旅行社，四条索道均为全国“5S”索道，丰富的品牌资源为公司经营发展起到了重要支撑作用。,hstd56@126.com;hs600054@126.com;hslydw@126.com,"主营业务:客运索道,园林门票,酒店食宿及旅游服务.",陶平,安徽,72937.94,丁维,19961118,www.huangshan.com.cn/www.tourmart.cn,SHSE
FEDU,2020Q4_1696334,四季教育,0,NYSE,教育,20540,-,教育培训服务,20540010,257430000,-17.24,-20.31,$0.86,非周期性消费,205,0.0,0,0,0.0,-10000.0,-1036079,-0.11,0.11,1.0,1.17,0.66,0.92,-6.45,2020-12-31T05:00:00Z,{5_trade_sell},{trade_sell},2020Q4_1696334,,,,,,,,,,,,,,
