symbol,_id,address,business_scope,chairman,city,descrpt,email,main_business,manager,province,reg_capital,secretary,setup_date,website,company,dividend_startyear,exchange,exchange_,group,groupcode,index_stockid,industry,industrycode,mktcap_norm_cny,pchange_12w,pchange_ytd,price,sector,sectorcode,share_percentage,shares,value,position,change,share_change,impact,abs_impact,split_factor,price_max,price_min,price_avg,change_from_average,portdate,action,comment,oid
601012,2021Q1_548988,陕西省西安市西安经济技术开发区尚苑路8369号,半导体材料、太阳能电池与组件、电子元器件、半导体设备的开发、制造和销售；商品进出口业务；光伏电站项目的开发及工程总承包；光伏电站系统运行维护；LED照明灯具、储能节能产品的销售、技术服务、售后服务；合同能源管理。(以上经营范围国家法律法规规定的专控及前置许可项目除外，国家法律法规另有规定的，从其规定),李振国,西安市,公司是全球最大的单晶硅生产制造商。公司始终专注于单晶硅棒、硅片的研发、生产和销售，经过十多年的发展，目前已成为*全球最大的太阳能单晶硅光伏产品制造商。产业覆盖隆基单晶硅、隆基乐叶光伏、隆基新能源、隆基清洁能源光伏全产业链。自创立以来，始终秉承“可靠、增值、愉悦”的企业文化理念，持续为社会提供优秀的能源与服务，依托长期积累形成的规模化生产优势、全产业链优势、创新优势、品牌优势和人才优势，致力于领先的光伏发电技术和产业，促进光伏发电“平价时代”的早日到来，从而改变人类利用能源的方式，改变世界能源的格局，改变人类的生活方式，实现世界文明可持续发展。,longi-board@longigroup.com,"主营业务为单晶硅棒,硅片的研发,生产,销售,主要产品包括6英寸,6.5英寸,8英寸的单晶硅棒,单晶硅片.",李振国,陕西,541295.27,刘晓东,20000214,www.longigroup.com,隆基股份,2019,SHSE,SHSE,半导体,31130,-,半导体仪器和材料,31130010,491247537000,50.53,41.68,¥89.00,科技,311,0.04,2076282,20049140.0,1.2,32.1,504559,0.29,0.29,1.4,123.0,76.79,101.37,-12.2,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 32.10 %,2021Q1_548988
00881,2021Q1_548970,,,,,,,,,,,,,,中升控股,2016,HKSE,HKSE,汽车和配件,10200,-,汽车经销商,10200010,150533840000,42.4,40.58,HK$77.00,周期性消费,102,0.2,4646500,32916920.0,1.97,29.25,1051500,0.45,0.45,1.0,56.75,44.85,50.55,52.32,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 29.25 %,2021Q1_548970
300450,2021Q1_548989,江苏省无锡市新吴区新锡路20号(经营场所:无锡市新吴区新洲路18号),许可项目：货物进出口；进出口代理(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准)一般项目：专用设备制造(不含许可类专业设备制造)；电子专用设备制造；电子专用设备销售；软件开发；人工智能应用软件开发；工业设计服务；信息咨询服务(不含许可类信息咨询服务)、信息技术咨询服务(除依法须经批准的项目外，凭营业执照依法自主开展经营活动),王燕清,无锡市,公司是国家火炬计划重点高新技术企业、国家两化融合示范企业。公司是全球新能源装备的龙头企业，涵盖锂电池装备、光伏装备、3C检测装备、智能仓储物流系统、汽车智能产线等业务。公司专业从事高端自动化成套装备的研发设计、生产销售，为锂电池、光伏电池/组件、3C、薄膜电容器等节能环保及新能源产品的生产制造商提供高端全自动智能装备及解决方案。公司的产品性能达到国际先进水平，能根据客户要求研发各种个性化智能装备。公司拥有数百项授权专利，多项装备被认定为省高新技术产品、省首台套重大装备、省名牌产品等。,lead@leadchina.cn;longfei.miao@leadchina.cn;jianfeng.zhou@leadchina.cn,"专业从事自动化成套设备的研发,设计,生产与销售以及自动化整体解决方案的供应商,公司主要为薄膜电容器,锂电池,光伏电池/组件等节能环保及新能源产品的生产制造厂商提供设备及解决方案.主要产品:播磨电容器设备,锂电池设备,光伏自动化生产配套设备.",王燕清,江苏,145171.6,周建峰,20020430,www.leadchina.cn,先导智能,2020,SZSE,SZSE,工业制品,31070,-,特种工业机械,31070020,102088537000,32.26,28.62,¥62.80,工业,310,0.17,2631916,19918430.0,1.19,28.72,587188,0.27,0.27,1.6,61.25,43.38,52.79,18.96,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 28.72 %,2021Q1_548989
300496,2021Q1_548986,北京市海淀区清华东路9号院3号楼创达大厦,开发计算机软件；销售自行开发的产品；技术咨询、技术服务；计算机软件技术培训；计算机系统服务；商务咨询；从事通讯设备、电子产品的批发及进出口(不涉及国营贸易管理商品；涉及配额、许可证管理商品的按国家有关规定办理申请手续)。(依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。),赵鸿飞,北京市,公司是全球领先的智能平台技术提供商。自2008年成立以来，公司致力于提供卓越的智能终端操作系统平台技术及解决方案，助力并加速智能手机、智能物联网、智能汽车等领域的产品化与技术创新。源于多年在Android、Linux、Windows和HTML5等操作系统技术的研发与创新，中科创达形成了从硬件驱动、操作系统内核、中间件到上层应用全面的技术体系。积累了丰富的研发经验和众多自有知识产权，具备强有力的技术开发和服务能力。核心技术涵盖了通信协议栈、深度学习、图形图像算法、操作系统优化和安全技术等多个方面。中科创达与智能终端产业链中的芯片、元器件、终端、软件与互联网厂商以及运营商等全球领先企业拥有紧密的合作关系，具有独特的垂直整合优势。,ir@thundersoft.com,"主营产品;软件开发服务,联合实验室,软件产品及软硬件一体化解决方案;主营业务为移动智能终端操作系统产品的研发,销售及提供相关技术服务.",赵鸿飞,北京,42315.01,王焕欣,20080307,www.thundersoft.com,中科创达,2017,SZSE,SZSE,软件,31110,-,软件应用,31110020,60663373000,16.73,23.7,¥142.98,科技,311,0.27,1132066,21146830.0,1.26,28.48,250966,0.28,0.28,1.0,153.9,105.5,128.2,11.53,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 28.48 %,2021Q1_548986
06030,2021Q1_548961,广东省深圳市福田区中心三路8号中信证券大厦/北京市朝阳区亮马桥路48号中信证券大厦,证券经纪（限山东省、河南省、浙江省天台县、浙江省苍南县以外区域）；证券投资咨询；与证券交易、证券投资活动有关的财务顾问；证券承销与保荐；证券自营；证券资产管理；融资融券；证券投资基金代销； 为期货公司提供中间介绍业务； 代销金融产品；股票期权做市。,张佑君,深圳市,公司是国内规模最大的证券公司。主营业务范围为：证券经纪；证券投资咨询；与证券交易、证券投资活动有关的财务顾问；证券承销与保荐；证券自营；证券资产管理；融资融券；证券投资基金代销；为期货公司提供中间介绍业务。中信证券在若干业务领域保持或取得领先地位。公司紧紧围绕服务实体经济这一个中心，进一步完善融资安排者、财富管理者、交易服务与流动性提供者、市场重要投资者和风险管理者五大角色，不断重塑并巩固核心竞争力。公司依托第一大股东与中信银行、中信信托、信诚人寿保险等公司共同组成中信控股之综合经营模式，并与中信国际金融控股共同为客户提供境内外全面金融服务。,ir@citics.com,"1,投资银行:股权融资业务,债券及结构化融资业务,财务顾问业务.2,经纪业务.3,交易4,资产管理5,投资6,研究业务",杨明辉,广东,1211690.84,王俊锋,19951025,www.cs.ecitic.com,中信证券,2019,HKSE,HKSE,资本市场,10330,-,资本市场,10330010,288038505000,-3.8,4.71,HK$18.14,金融服务,103,0.16,20449000,47265430.0,2.82,27.64,4428000,0.61,0.61,1.0,20.35,15.42,17.41,4.19,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 27.64 %,2021Q1_548961
000338,2021Q1_548977,山东省潍坊市高新技术产业开发区福寿东街197号甲,许可项目：技术进出口；货物进出口；道路货物运输(不含危险货物)；城市配送运输服务(不含危险货物)。一般项目：机械设备研发；机械设备销售；通用设备制造(不含特种设备制造)；通用设备修理；汽车零部件研发；汽车零部件及配件制造；汽车零配件批发；汽车零配件零售；专用设备修理；机械零件、零部件销售；数据处理和存储支持服务；软件开发；网络与信息安全软件开发；人工智能理论与算法软件开发；软件销售；集成电路设计；集成电路制造；集成电路销售；智能车载设备制造；智能车载设备销售；信息技术咨询服务；地理遥感信息服务；液压动力机械及元件制造；液压动力机械及元件销售；液气密元件及系统制造；液气密元件及系统销售；新兴能源技术研发；工程和技术研究和试验发展；电机及其控制系统研发；电动机制造；电池制造；电池销售；电力电子元器件制造；电力电子元器件销售；新能源汽车电附件销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；润滑油加工、制造(不含危险化学品)；润滑油销售；专用化学产品制造(不含危险化学品)；专用化学产品销售(不含危险化学品)；石油制品销售(不含危险化学品)；成品油批发(不含危险化学品)；非居住房地产租赁；金属材料销售,谭旭光,潍坊市,公司是中国综合实力最强的汽车及装备制造产业集团之一，始终坚持产品经营+资本运营双轮驱动的运营策略，致力于打造最具品质、技术和成本三大核心竞争力的产品，成功构筑起了动力总成(发动机、变速箱、车桥)、整车整机、液压控制和汽车零部件四大产业板块协同发展的新格局。公司主要产品包括全系列发动机、重型汽车、轻微型车、工程机械、液压产品、汽车电子及零部件等，其中，发动机产品远销全球百余个国家和地区，广泛应用和服务于全球卡车、客车、工程机械、农业装备、船舶、电力等市场。目前，公司形成了以潍坊为中心的全系列动力产业基地，以西安为中心的重型汽车和传动系统产业基地，以重庆为中心的大功率发动机和轻型车产业基地，以株洲为中心的汽车电子及零部件产业基地，以扬州为中心的轻微型汽车动力产业基地。同时，公司先后荣获全国质量奖、中国机械工业科技进步特等奖、中国商标金奖·商标创新奖、中国质量奖等荣誉。,weichai@weichai.com;wangli01@weichai.com;wudi03@weichai.com,"主要产品:全系列发动机,重型汽车,轻微型车,工程机械,液压产品,汽车电子及零部件等.",谭旭光,山东,872655.68,王丽,20021223,www.weichaipower.com,潍柴动力,2020,SZSE,SZSE,工业制品,31070,-,特种工业机械,31070020,142976456000,-10.88,7.35,¥17.00,工业,310,0.11,9236061,27235270.0,1.63,24.64,1826000,0.32,0.32,1.0,25.47,16.02,20.61,-17.52,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 24.64 %,2021Q1_548977
03690,2021Q1_548960,,,,,,,,,,,,,,美团,0,HKSE,HKSE,零售,10280,-,网络零售,10280050,1484428096000,1.97,-1.22,HK$292.60,周期性消费,102,0.02,1424400,55586070.0,3.32,21.38,250900,0.58,0.58,1.0,451.4,280.4,350.97,-16.63,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 21.38 %,2021Q1_548960
300244,2021Q1_548994,浙江省杭州市西湖科技园金蓬街329号,诊断技术、医疗技术的技术开发、技术服务、技术咨询；医疗行业的投资；医疗器械(限国产一类)的制造、加工(限分支机构经营)、销售；企业咨询管理，培训服务，计算机软件的技术开发、技术服务；计算机信息系统的维护；医疗器械的批发(需许可经营的凭有效许可证经营)，从事进出口业务。(依法须经批准的项目，经相关部门批准后方可开展经营活动),陈海斌,杭州市,公司是一家独立的第三方医学诊断服务平台，主要向各级医疗卫生机构提供以医学诊断服务外包为核心业务的医学诊断服务整体解决方案。经过多年的发展，公司现已形成具有迪安特色的“服务+产品”的一体化商业模式，公司不仅可以向各级医疗卫生机构提供医学诊断服务外包业务，还可以向其提供国内外知名的诊断产品。公司已在全国布局20余家连锁化实验室，并相继通过ISO15189与CAP国际质量认证认可体系，为全国12000多家医疗机构提供以服务外包为核心的医学诊断服务整体解决方案。,zqb@dazd.cn,"主营业务:面向各类综合医院与专科医院,社区卫生服务中心(站),乡(镇)卫生院,体检中心,疾病预防控制中心等各级医疗卫生机构,以提供医学诊断服务外包为核心业务的医学诊断服务整体解决方案.",黄柏兴,浙江,62045.83,陶钧,20010905,www.dazd.cn,迪安诊断,2017,SZSE,SZSE,医疗诊断和研究,20660,-,诊断和研究,20660010,20662087000,-4.63,-2.63,¥32.58,医疗保健,206,0.45,2822996,15077790.0,0.9,7.39,194153,0.06,0.06,1.0,50.49,30.26,37.03,-12.02,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 7.39 %,2021Q1_548994
00388,2021Q1_548975,,,,,,,,,,,,,,香港交易所,2020,HKSE,HKSE,资本市场,10330,-,金融数据和交易所,10330020,534423114000,8.98,18.48,HK$526.00,金融服务,103,0.04,509200,30208750.0,1.8,0.49,2500,0.01,0.01,1.0,567.0,435.8,487.61,7.87,2021-03-31T04:00:00Z,{2_trade_add},{trade_add} 0.49 %,2021Q1_548975
00700,2021Q1_548955,,,,,,,,,,,,,,腾讯控股,2008,HKSE,HKSE,交互式媒体,30830,-,互联网和相关服务,30830010,4515614527000,-8.61,0.11,HK$568.00,通信服务,308,0.02,2202400,175768160.0,10.5,0.0,0,0.0,0.0,1.0,766.5,568.5,668.94,-15.09,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_548955
600036,2021Q1_548958,广东省深圳市福田区深南大道7088号,吸收公众存款；发放短期、中期和长期贷款；办理结算；办理票据贴现；发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券；同业拆借；提供信用证服务及担保；代理收付款项及代理保险业务；提供保管箱服务。外汇存款；外汇贷款；外汇汇款；外币兑换；国际结算；结汇、售汇；同业外汇拆借；外汇票据的承兑和贴现；外汇借款；外汇担保；买卖和代理买卖股票以外的外币有价证券；发行和代理发行股票以外的外币有价证券；自营和代客外汇买卖；资信调查、咨询、见证业务；离岸金融业务。经国务院银行业监督管理机构批准的其他业务。,缪建民,深圳市,公司是中国境内第一家完全由企业法人持股的股份制商业银行、国家从体制外推动银行业改革的第一家试点银行，也是一家拥有商业银行、金融租赁、基金管理、人寿保险、境外投行等金融牌照的银行集团。近年来，公司聚焦移动优先策略，拥抱金融科技(Fintech)，率先推出闪电贷、刷脸取款、“一闪通”支付等创新服务，招商银行手机银行、掌上生活两大App已成行业翘楚，月活量均稳居金融行业前十。经过多年创新发展，招商银行部分业务领域已成为国内商业银行的标杆，连续多年获得境内外权威媒体评选的“中国最佳零售银行”“中国最佳私人银行”“中国最佳交易银行”等殊荣。,cmb@cmbchina.com,"主要业务:贷款拆借,存放同业业务债券投资.",田惠宇,广东,2521984.56,王良,19870331,www.cmbchina.com,招商银行,2009,SHSE,SHSE,银行,10320,-,区域性银行,10320020,1298392121000,5.79,19.01,¥51.00,金融服务,103,0.04,9730523,76014700.0,4.54,0.0,0,0.0,0.0,1.0,55.69,42.18,51.56,-1.09,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_548958
09618,2021Q1_548963,,,,,,,,,,,,,,京东集团,0,HKSE,HKSE,零售,10280,-,网络零售,10280050,772826818000,-1.33,-13.21,HK$299.00,周期性消费,102,0.03,998780,42120880.0,2.52,0.0,0,0.0,0.0,1.0,416.8,307.8,356.7,-16.18,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_548963
JD,2021Q1_548962,,,,,,,,,,,,,,京东集团,0,NAS,,零售,10280,-,网络零售,10280050,774722131000,-0.81,-12.56,$76.86,周期性消费,102,0.03,499389,42113470.0,2.51,0.0,0,0.0,0.0,1.0,106.88,78.71,91.81,-16.28,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_548962
000333,2021Q1_548972,广东省佛山市顺德区北滘镇美的大道6号美的总部大楼,生产经营家用电器、电机及其零部件；从事家用电器、家电原材料及零配件的进出口、批发及加工业务(不设店铺，不涉及国营贸易管理商品，涉及配额、许可证管理商品的按国家规定办理)；信息技术服务；为企业提供投资顾问及管理服务；计算机软件、硬件开发；家电产品的安装、维修及售后服务；工业产品设计；酒店管理；广告代理；物业管理；企业所需的工程和技术研究、开发及其销售和推广；对金融业进行投资。(经营范围涉及行政许可的项目须凭有效许可证或批准证明经营),方洪波,佛山市,公司是一家消费电器、暖通空调、机器人与自动化系统、智能供应链(物流)的科技集团，提供多元化的产品种类与服务，包括以厨房家电、冰箱、洗衣机、及各类小家电为核心的消费电器业务；以家用空调、中央空调、供暖及通风系统为核心的暖通空调业务；以库卡集团、美的机器人公司等为核心的机器人及自动化系统业务;以安得智联为集成解决方案服务平台的智能供应链业务。公司以“科技尽善，生活尽美”为企业愿景，将“联动人与万物，启迪美的世界”作为使命，恪守“敢知未来——志存高远、务实奋进、包容共协、变革创新”的价值观，整合全球资源，推动技术创新，每年为全球超过3亿用户、及各领域的重要客户与战略合作伙伴提供满意的产品和服务，致力创造美好生活。,IR@midea.com,"以家电产业为主,涉足电机,物流等领域,旗下分为四大业务板块,分别为大家电,小家电,电机及物流",方洪波,广东,704515.93,江鹏,20000407,www.midea.com,美的集团,2014,SZSE,SZSE,家具制造,10220,-,家具制造,10220010,504339523000,-9.25,-26.09,¥69.70,周期性消费,102,0.04,2537352,31922600.0,1.91,0.0,0,0.0,0.0,1.0,107.11,80.68,93.28,-25.28,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_548972
01801,2021Q1_548998,,,,,,,,,,,,,,信达生物,0,HKSE,HKSE,生物科技,20610,-,生物科技,20610010,106676243000,19.27,6.52,HK$88.75,医疗保健,206,0.09,1373500,14047080.0,0.84,0.0,0,0.0,0.0,1.0,103.6,70.4,86.14,3.03,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_548998
00268,2021Q1_549004,,,,,,,,,,,,,,金蝶国际,2019,HKSE,HKSE,软件,31110,-,软件应用,31110020,74783228000,4.67,-18.12,HK$25.50,科技,311,0.07,2299000,7209640.0,0.43,0.0,0,0.0,0.0,1.0,38.3,23.85,29.86,-14.6,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_549004
002475,2021Q1_549007,广东省东莞市清溪镇北环路313号,生产经营连接线、连接器、电脑周边设备、塑胶五金制品。,王来春,深圳市,"公司是一家技术导向公司，公司专注于连接线、连接器的研发、生产和销售，产品主要应用于3C(计算机、通讯、消费电子)和汽车、医疗等领域。产品主要应用于3C(电脑、通讯、消费电子)、汽车和通讯等领域，核心产品电脑连接器已树立了优势地位，台式电脑连接器覆盖全球20%以上的台式电脑，并快速扩大笔记本电脑连接器的生产，公司已经开发出DP、eDP、USB3.0、ESATA等新产品，同时公司正逐步进入汽车连接器、通讯连接器和高端消费电子连接器领域，拓展新的产品市场,确立了自身的竞争优势。公司是USB、HDMI、SATA等协会的会员。公司拥有自主产品的核心技术和知识产权，已申请多项发明专利，实用新型专利及外观设计专利超过百项。后公司实验室通过国家认可委认证，并获“深圳市测试平台”称号。",David.Huang@luxshare-ict.com;Public@luxshare-ict.com;Ray.Li@luxshare-ict.com,"公司专注于连接器的研发,生产和销售,产品主要应用于3C(电脑,通讯,消费电子),汽车和通讯设备等领域.主要生产电脑连接器产品,包括台式电脑连接器及笔记本电脑连接器,并专注于生产附加价值高的电脑内部连接器.",王来春,广东,703542.64,黄大伟,20040524,www.luxshare-ict.com,立讯精密,2014,SZSE,SZSE,硬件,31120,-,电子元件,31120040,291315806000,26.58,-24.47,¥41.26,科技,311,0.01,865562,4490570.0,0.27,0.0,0,0.0,0.0,1.0,62.11,32.4,48.26,-14.5,2021-03-31T04:00:00Z,{3_not_change},-,2021Q1_549007
02688,2021Q1_548992,,,,,,,,,,,,,,新奥能源,2016,HKSE,HKSE,公共事业 - 管制,20720,-,燃气生产和供应,20720030,150905383000,28.62,46.96,HK$161.10,公用事业,207,0.09,1019400,16442189.999999998,0.98,-3.14,-33000,-0.03,0.03,1.0,134.3,113.7,122.66,31.34,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 3.14 %,2021Q1_548992
002747,2021Q1_548979,江苏省南京市江宁区吉印大道1888号(江宁开发区),生产、开发、服务各类机电一体化产品、自动控制、运动控制、驱动装置、计算机应用软件、伺服液压控制及系统集成、工业机器人制造、智能机器人的研发、人工智能应用软件开发、工业互联网数据服务、电子元器件制造；销售自产产品；自营和代理各类商品和技术的进出口业务。(依法须经批准的项目，经相关部门批准后方可开展经营活动),吴波,南京市,公司业务覆盖了从自动化核心部件及运动控制系统、工业机器人到机器人集成应用的全产业链，构建了从技术、成本到服务的全方位竞争优势。公司业务主要分为两个核心业务模块：一是自动化核心部件及运动控制系统，二是工业机器人及智能制造系统。公司作为中国运动控制领域具有影响力的企业之一，自动化核心部件产品线已完成从交流伺服系统到运动控制系统解决方案的战略转型，业务模式正在实现从单轴—单机—单元的全面升华；工业机器人产品线在公司自主核心部件的支撑下得到超高速发展，奠定公司作为国产机器人行业的龙头地位，通过推进机器人产品线“ALL Made By ESTUN”的战略，形成核心部件—工业机器人—机器人智能系统工程的全产业链竞争力，构建了从技术、成本到服务的全方位竞争优势。,zqb@estun.com,"主要产品:自动化核心部件及运动控制系统,工业机器人及智能制造系统.主营业务:两个核心业务模块:一是自动化核心部件及运动控制系统,二是工业机器人及智能制造系统.",吴侃,江苏,84060.95,袁琴,20020226,www.estun.com,埃斯顿,0,SZSE,SZSE,工业制品,31070,-,特种工业机械,31070020,34053356000,33.66,31.29,¥38.16,工业,310,0.76,6609325,26219790.0,1.57,-5.72,-400800,-0.12,0.12,1.0,38.46,22.95,30.79,23.94,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 5.72 %,2021Q1_548979
09988,2021Q1_548956,,,,,,,,,,,,,,阿里巴巴,0,HKSE,HKSE,零售,10280,-,网络零售,10280050,3814575162000,-9.92,-9.3,HK$210.80,周期性消费,102,0.02,4518800,128390970.0,7.67,-5.94,-285200,-0.55,0.55,1.0,267.0,216.0,239.12,-11.84,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 5.94 %,2021Q1_548956
300759,2021Q1_548971,北京市北京经济技术开发区泰河路6号,药用化合物、化学药、生物制品、生物技术的研究与开发；提供技术开发、技术转让、技术咨询、技术服务、技术培训；货物、技术进出口业务。(涉及配额许可证管理及专项规定管理的商品按照国家有关规定办理)。(企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。),楼柏良,北京市,公司是一家领先的全流程一体化医药研发服务平台，业务遍及全球，致力于协助客户加速药物创新。根据弗若斯特沙利文的资料，按2018年的总收益计，公司是中国第二大医药研发服务平台及全球三大药物发现服务供应商之一。公司在药物发现、临床前及早期临床开发服务方面处于领先地位，并一直致力于拓展下游业务，包括临床后期开发及商业化生产等服务。公司不断扩大医药研发服务领域，并掌握主要研发学科的专业知识以覆盖各研发阶段的主要里程碑，协助客户加快推进研发计划。作为领先的药物发现医药研发服务供应商，公司对分子已积累深刻的科学见解，并自客户创新药物研发初期起即取得客户信任。,pharmaron@pharmaron-bj.com,"公司的主营业务为药物研究,开发及生产CRMO服务,分为药物发现和药物开发研发服务两部分.",楼柏良,北京,79438.75,李承宗,20040701,www.pharmaron.com；www.pharmaron.cn,康龙化成,2019,SZSE,SZSE,生物科技,20610,-,生物科技,20610010,165865354000,58.35,94.14,¥199.80,医疗保健,206,0.18,1398892,32087030.0,1.92,-12.71,-203700,-0.25,0.25,1.0,169.66,104.4,132.83,50.42,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 12.71 %,2021Q1_548971
300347,2021Q1_548996,浙江省杭州市滨江区西兴街道聚工路19号8幢20层,服务：医药相关产业产品及健康相关产业产品的技术开发、技术咨询、成果转让，临床试验数据的管理与统计分析，翻译；以承接服务外包方式从事数据处理等信息技术和业务流程外包服务；成年人的非证书劳动职业技能培训，成年人的非文化教育培训；人力资源管理和猎头服务(国家禁止和限制的项目除外，涉及许可证的凭证经营)。前款所指公司经营范围以公司登记机关核准的项目为准。,曹晓春,杭州市,公司是国内领先的临床合同研究组织(CRO)，专注于为医药产品研发提供I-IV期临床试验、数据管理与生物统计、注册申报等全方位服务。公司参与了包括国家“十五”、“十一五”、“十二五”国家重大科技专项，国家863计划重大科技专项，以及国家创新基金项目、中科院重大科技项目、浙江省重大科技专项和广州市科技重大项目等在内的多项新化学单体和新生物制品的临床试验。公司的临床研究业务几乎包括了我国GCP中提出的全部临床试验内容，完备的服务内容可以满足绝大多数国内外制药企业的临床研究要求。,ir@tigermedgrp.com,"主营业务:为国内外医药及健康相关产品的研究开发提供专业临床研究服务.包括I至IV期临床试验技术服务,临床注册申报,临床试验现场服务,数据管理及统计分析,CMC,BIO,BE,SMO服务,中心实验室,中心影像等.",曹晓春,浙江,87246.7,Gao Jun(高峻),20041215,www.tigermedgrp.com,泰格医药,2016,SZSE,SZSE,医疗诊断和研究,20660,-,诊断和研究,20660010,151768759000,32.5,12.57,¥175.47,医疗保健,206,0.07,620486,14273960.0,0.85,-12.81,-91200,-0.15,0.15,1.0,191.51,121.3,156.74,11.95,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 12.81 %,2021Q1_548996
02269,2021Q1_548993,,,,,,,,,,,,,,药明生物,0,HKSE,HKSE,生物科技,20610,-,生物科技,20610010,484599612000,31.39,35.0,HK$139.90,医疗保健,206,0.03,1276000,16091330.0,0.96,-14.07,-209000,-0.18,0.18,1.0,124.4,80.85,103.82,34.75,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 14.07 %,2021Q1_548993
600585,2021Q1_548995,安徽省芜湖市镜湖区文化路39号,水泥用石灰岩、水泥配料用砂岩露天开采；水泥及辅料、水泥制品生产、销售、出口、进口；建筑用骨料、砂石的生产、销售；装配式建筑及预制部件部品的设计、生产、销售、安装及售后服务，工程总承包；机械设备、仪器仪表、零配件及企业生产、科研所需的原辅材料生产、销售、出口、进口；电子设备生产、销售、出口、进口；技术服务。煤炭批发、零售；承包国外工程项目、对外派遣实施工程所需的劳务人员；碳回收利用、销售(涉及行政许可的除外)及食品添加剂的生产和销售。,王诚,芜湖市,公司主要从事水泥及商品熟料的生产和销售。公司生产线全部采用先进的新型干法水泥工艺技术，具有产量高、能耗低、自动化程度高、劳动生产率高、环境保护好等特点。公司在华东、华南地区拥有丰富的优质石灰石矿山资源，含碱度低，碳酸钙含量高，为生产高品质低碱水泥提供了得天独厚的原材料；公司生产全部采用新型干法旋窑工艺技术，装备先进，实现了从矿石开采到码头装运的全程自动化控制，按照ISO9001国际质量认证体系进行质量管理和监控；依靠完备的铁路、公路及水路运输系统，形成了专业化生产体系和庞大的市场营销网络。“海螺”牌高等级水泥和商品熟料为公司的主导产品。“CONCH”商标被国家商标局认定为驰名商标，“海螺”牌水泥被国家质量监督检验检疫总局批准为免检产品，长期、广泛应用于举世瞩目的标志性工程。,dms@conch.cn;cement@conch.cn;dms@chinaconch.com;yushui@chinaconch.com,主要产品:水泥.,吴斌,安徽,529930.26,虞水,19970901,www.conch.cn,海螺水泥,2016,SHSE,SHSE,建筑材料,10120,-,建筑材料,10120010,199911249000,-17.42,-20.09,¥38.65,基础材料,101,0.04,1901544,14865730.0,0.89,-19.48,-460100,-0.24,0.24,1.0,57.3,49.0,52.79,-26.79,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 19.48 %,2021Q1_548995
01299,2021Q1_548966,,,,,,,,,,,,,,友邦保险,2019,HKSE,HKSE,保险,10340,-,人身保险,10340010,967043532000,-2.8,1.68,HK$96.25,金融服务,103,0.02,2941800,35998130.0,2.15,-23.07,-882200,-0.72,0.72,1.0,108.9,92.75,99.54,-3.31,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 23.07 %,2021Q1_548966
00868,2021Q1_548982,,,,,,,,,,,,,,信义玻璃,2020,HKSE,HKSE,建筑,31040,-,建筑材料和设备,31040030,109963120000,29.59,54.13,HK$33.85,工业,310,0.19,7688000,25255780.0,1.51,-23.56,-2370000,-0.44,0.44,1.0,25.8,18.8,22.09,53.24,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 23.56 %,2021Q1_548982
BILI,2021Q1_548968,,,,,,,,,,,,,,哔哩哔哩,0,NAS,,交互式媒体,30830,-,电子游戏和多媒体,30830020,272631795000,6.91,28.46,$110.12,通信服务,308,0.08,322400,34516140.0,2.06,-44.66,-260200,-1.49,1.49,1.0,156.37,94.74,122.71,-10.26,2021-03-31T04:00:00Z,{4_trade_reduce},{trade_reduce} 44.66 %,2021Q1_548968
